Address,Translated
"Улица Мхитара Гераци, Ереван","Mkhitaryan Geratsi Street, Yerevan"
"Улица Бюзанда, Ереван","Buzand Street, Yerevan"
"Mher Mkrtchyan street, Yerevan","Mher Mkrtchyan street, Yerevan"
"Vagharsh Vagharshyan street 17, Yerevan","Vagharsh Vagharshyan street 17, Yerevan"
"Tsarav Aghbyuri Street 55/20, Yerevan","Tsarav Aghbyuri Street 55/20, Yerevan"
"Aram Khachatryan Street, Yerevan","Aram Khachatryan Street, Yerevan"
"Մովսես Խորենացու փողոց 20, Երևան","20 Movses Khorenatsi Street, Yerevan"
"Yervand Kochar street 5, Yerevan","Yervand Kochar street 5, Yerevan"
"Գևորգ Ջահուկյան փողոց 1/12, Երևան","1/12 Gevorg Jahukyan Street, Yerevan"
"Aram Khachatryan street 22, Yerevan","Aram Khachatryan street 22, Yerevan"
"Մարշալ Բաղրամյան պողոտա , Yerevan","Marshal Baghramyan Avenue, Yerevan"
"Moskovyan street, Երևան","Moskovyan street, Yerevan"
"Saryan Street 19, Yerevan","Saryan Street 19, Yerevan"
"Arabkir 53-rd street, Yerevan","Arabkir 53-rd street, Yerevan"
"Արամ Խաչատրյանի փողոց 31/3, Երևան","31/3 Aram Khachaturian Street, Yerevan"
"Hunan Avetisyan street, Yerevan","Hunan Avetisyan street, Yerevan"
"Tsitsernakaberd Hwy 1/2, Yerevan","Tsitsernakaberd Hwy 1/2, Yerevan"
"Marshal Babajanyan St, Yerevan","Marshal Babajanyan St, Yerevan"
"Проспект Месропа Маштоца 5Г, Ереван","Mesrop Mashtots Avenue 5G, Yerevan"
"Hrachya Kochar Street 5, Yerevan","Hrachya Kochar Street 5, Yerevan"
"Ул. Манандяна 17, Երևան","17 Manandyan St., Yerevan"
"Amiryan street 4/2, Երևան","Amiryan street 4/2, Yerevan"
"Улица Ленинградян 22/13, Ереван","Leningradyan street 22/13, Yerevan"
"Սասնա Ծռերի փողոց 10, Երևան","10 Sasna Tsrer Street, Yerevan"
"Gusan Sheram Street 27, Yerevan","Gusan Sheram Street 27, Yerevan"
"Աթոյան փողոց, Երևան","Atoyan Street, Yerevan"
"Tsarav Aghbyur St, Yerevan","Tsarav Aghbyur St, Yerevan"
"Kurghinyan street, Yerevan","Kurghinyan street, Yerevan"
"Mesrop Mashtots , Երևան","Mesrop Mashtots, Yerevan"
"Մովսես Խորենացի փողոց 1-րդ նրբանցք 101/2, Երևան","Movses Khorenatsi Street 1st Lane 101/2, Yerevan"
"Tigran Petrosyan street 14, Yerevan","Tigran Petrosyan street 14, Yerevan"
"Աէրացիայի փողոց, Երևան","Aeratsia Street, Yerevan"
"Նուբարաշեն 2րդ փողոց, Երևան","Nubarashen 2nd Street, Yerevan"
"Bashinjaghyan street 4, Yerevan","Bashinjaghyan street 4, Yerevan"
"Hrachya Qochar street, Երևան","Hrachya Qochar street, Yerevan"
"Amiryan street, Yerevan","Amiryan street, Yerevan"
"Aghbyur Serob street 2, Yerevan","Aghbyur Serob street 2, Yerevan"
"Komitas Avenue 19, Yerevan","Komitas Avenue 19, Yerevan"
"Arshakuniats Avenue 135, Yerevan","Arshakuniats Avenue 135, Yerevan"
"Նար–Դոսի փողոց 1, Yerevan","1 Nar-Dos Street, Yerevan"
"Kievyan street 18, Yerevan","Kievyan street 18, Yerevan"
"Nalbandyan street 19, Yerevan","Nalbandyan street 19, Yerevan"
"Amiryan Street 12, Dzoragyugh","Amiryan Street 12, Dzoragyugh"
"1-й квартал Давташен, Ереван","1st district Davtashen, Yerevan"
"Улица Мамиконянц, Ереван","Mamikonyants Street, Yerevan"
"Улица Анастаса Микояна 2/2, Ереван","Anastas Mikoyan Street 2/2, Yerevan"
"Davtashen 3rd Block, Yerevan","Davtashen 3rd Block, Yerevan"
"Teryan street 66, Yerevan","Teryan street 66, Yerevan"
"Նալբանդյան փողոց 10, Երևան","10 Nalbandyan Street, Yerevan"
"Վիկտոր Համբարձումյան փողոց, Երևան","Victor Hambardzumyan Street, Yerevan"
"17-я улица Арабкира 27, Ереван","17th Arabkir Street 27, Yerevan"
"Busabanakan street, Yerevan","Busabanakan street, Yerevan"
"Terlemezyan Street, Yerevan","Terlemezyan Street, Yerevan"
"Bashinjaghyan deadlock, Yerevan","Bashinjaghyan deadlock, Yerevan"
"Улица Никогайоса Адонца 4/3, Ереван","4/3 Nikogayos Adonts Street, Yerevan"
"Avag Petrosyan street, Yerevan","Avag Petrosyan street, Yerevan"
"Տիգրան Մեծի պողոտա 38, Երևան","38 Tigran Mets Avenue, Yerevan"
"P. Sevak 17th St., Yerevan","P. Sevak 17th St., Yerevan"
"Svachyan street, Yerevan","Svachyan street, Yerevan"
"Վառլամ Ավանեսով փողոցի 3-րդ նրբանցք 5, Երևան","5, 3rd Lane, Varlam Avanesov Street, Yerevan"
"Titogradian street, Yerevan","Titogradian street, Yerevan"
"Svachyan street 32, Yerevan","Svachyan street 32, Yerevan"
"Զաքարիա Սարկավագի փողոց, Երևան","Zakaria Sarkavagi Street, Yerevan"
"Gogol street, Yerevan","Gogol street, Yerevan"
"Mikayelyan street, Yerevan","Mikayelyan street, Yerevan"
"Շիրվանզադեի փողոց, Երևան","Shirvanzade Street, Yerevan"
"Գորգագոծների փողոց, Երևան","Gorgagotsneri Street, Yerevan"
"Lukashin street, Yerevan","Lukashin street, Yerevan"
"Հրաչյա Քոչար փողոց, Երևան","Hrachya Kochar Street, Yerevan"
"Վերին Շենգավիթ 2րդ փողոց, Երևան","Upper Shengavit 2nd Street, Yerevan"
"Varouzhan block, Yerevan","Varouzhan block, Yerevan"
"Baghyan street, Yerevan","Baghyan street, Yerevan"
"Grigor Hasratyan street, Yerevan","Grigor Hasratyan street, Yerevan"
"Arabkir 25-th Street, Yerevan","Arabkir 25-th Street, Yerevan"
"Davit Bek street, Yerevan","Davit Bek street, Yerevan"
"Gajegortsneri street, Yerevan","Gajegortsneri street, Yerevan"
"Bagrevand 22th street, Yerevan","Bagrevand 22th street, Yerevan"
"Arabkir 51-st street, Yerevan","Arabkir 51-st street, Yerevan"
"Ashtarak highway, Yerevan","Ashtarak highway, Yerevan"
"Shopron street, Yerevan","Shopron street, Yerevan"
"Arabkir 17-th Street, Yerevan","Arabkir 17-th Street, Yerevan"
"Sevani street, Yerevan","Sevani street, Yerevan"
"Tserents Street, Yerevan","Tserents Street, Yerevan"
"Hovsep Arghutian street, Yerevan","Hovsep Arghutian street, Yerevan"
"Վերին Անտառային փողոց 45, Երևան","45 Upper Forest Street, Yerevan"
"Gyulbenkyan street 5, Yerevan","Gyulbenkyan street 5, Yerevan"
"Բրյուսովի փողոց, Երևան","Brusov Street, Yerevan"
"Улица Никогайоса Тиграняна, Ереван","Nikogayos Tigranyan Street, Yerevan"
"Բագրատունյաց պողոտա 1-ին նրբ 18, Երևան","18 Bagratunyats Avenue 1st Lane, Yerevan"
"1-й тупик Карапета Улнеци, Ереван","1st dead end of Karapet Ulnetsi, Yerevan"
"Փավստոս Բուզանդի փողոց 107, Երևան","Pavstos Buzand Street 107, Yerevan"
"Tigran Mets Avenue 5, Yerevan","Tigran Mets Avenue 5, Yerevan"
"Vagharsh Vagharshyan Street, Yerevan","Vagharsh Vagharshyan Street, Yerevan"
"Hunan Avetisyan street 25, Yerevan","Hunan Avetisyan street 25, Yerevan"
"Улица Грачья Кочара, Yerevan","Hrachya Kochar Street, Yerevan"
"Улица Братьев Орбели, Ереван","Orbeli Brothers Street, Yerevan"
"Улица Лер Камсари, Ереван","Ler Kamsari Street, Yerevan"
"Կենտրոն, Երևան","Center, Yerevan"
"Nazarbekyan block 1/3, Yerevan","Nazarbekyan block 1/3, Yerevan"
"Artsakh avenue 14, Yerevan","Artsakh avenue 14, Yerevan"
"Garegin Hovsepyan Street, Yerevan","Garegin Hovsepyan Street, Yerevan"
"Estonakan street 5, Yerevan","Estonakan street 5, Yerevan"
"Aram Street 2, Yerevan","Aram Street 2, Yerevan"
"Zoravar Andranik street 144, Yerevan","Zoravar Andranik street 144, Yerevan"
"Աղաբաբյան փողոց, Երևան","Aghababyan Street, Yerevan"
"Amiryan Street 8, Yerevan","Amiryan Street 8, Yerevan"
"Moskovyan street 25, Yerevan","Moskovyan street 25, Yerevan"
"2-й квартал Давташен 16, Ереван","2nd District Davtashen 16, Yerevan"
"Проспект Азатутян, Ереван","Azatutyan Avenue, Yerevan"
"Vagharsh Vagharshyan street 24/2, Yerevan","Vagharsh Vagharshyan street 24/2, Yerevan"
"Բաբայան փողոց, Երևան","Babayan Street, Yerevan"
"Բյուզանդի փողոց 107, Երևան","107 Byuzand Street, Yerevan"
"Nalbandyan street 25a, Երևան","Nalbandyan street 25a, Yerevan"
"Улица Нелсона Степаняна, Ереван","Nelson Stepanyan Street, Yerevan"
"Հայկ Գյուլիքևխյանի փողոց, Երևան","Hayk Gyulikevkhyan Street, Yerevan"
"Norashen District, Yerevan","Norashen District, Yerevan"
"Abovyan street 34a, Yerevan","Abovyan street 34a, Yerevan"
"Մարգարյան փողոց 1-ին նրբանցք 1, Երևան","Margaryan Street 1st Lane 1, Yerevan"
"Յոհաննես Լեփսիուսի փողոց 2Ա, Երևան","2A Johannes Lepsius Street, Yerevan"
"Mesrop Mashtots Avenue 14, Yerevan","Mesrop Mashtots Avenue 14, Yerevan"
"Tichina street 34, Yerevan","Tichina street 34, Yerevan"
"Pushkin Street 10, Yerevan","Pushkin Street 10, Yerevan"
"Moskovyan street 31, Երևան","Moskovyan street 31, Yerevan"
"Atoyan Street, Yerevan","Atoyan Street, Yerevan"
"Տարոնցու փողոց նրբանցք, Երևան","Tarontsi Street Alley, Yerevan"
"Yeznik Koghbaci Street 16, Երևան","Yeznik Koghbaci Street 16, Yerevan"
"Barbyus Street, Yerevan","Barbyus Street, Yerevan"
"Nerqin Shengavit 14-street 2 nd lane, Yerevan","Nerqin Shengavit 14-street 2 nd lane, Yerevan"
"Улица Езника Кохбаци, Ереван","Yeznik Koghbatsi Street, Yerevan"
"Davtashen 3rd Block 12, Yerevan","Davtashen 3rd Block 12, Yerevan"
"5-я улица Неркин Шенгавита 21, Ереван","5th street Nerkin Shengavit 21, Yerevan"
"Նորագավիթի 1-ին փողոց 97/2, Երևան","97/2 Noragavit 1st Street, Yerevan"
"Tumanyan street 34, Yerevan","Tumanyan street 34, Yerevan"
"Gai avenue 24, Yerevan","Gai avenue 24, Yerevan"
"Northern Avenue 1, Yerevan","Northern Avenue 1, Yerevan"
"Улица Андраника Зоравара 58/1, Yerevan","Andranik Zoravar Street 58/1, Yerevan"
"Նորքի Այգիներ փողոց 227, Երևան","227 Nork Ayginer Street, Yerevan"
"Bagratunyats Avenue 25, Yerevan","Bagratunyats Avenue 25, Yerevan"
"Shrjanain street 2, Yerevan","Shrjanain street 2, Yerevan"
"Bagratunyats Avenue 3rd lane, Yerevan","Bagratunyats Avenue 3rd lane, Yerevan"
"Meliq Meliqyan street, Yerevan","Meliq Meliqyan street, Yerevan"
"Dro street 14, Yerevan","Dro street 14, Yerevan"
"Aram Khachatryan street 25, Yerevan","Aram Khachatryan street 25, Yerevan"
"Zakian street 1, Yerevan","Zakian street 1, Yerevan"
"Ռիգայի փողոց, Երևան","Riga Street, Yerevan"
"Amiryan Street 15, Yerevan","Amiryan Street 15, Yerevan"
"Հանրապետության փողոց, Երևան","Republic Street, Yerevan"
"Yeznik Koghbatsi Street 16, Yerevan","Yeznik Koghbatsi Street 16, Yerevan"
"Dzorapi street 40/13, Yerevan","Dzorapi street 40/13, Yerevan"
"Nikoghayos Tigranyan street 7, Yerevan","Nikoghayos Tigranyan street 7, Yerevan"
"Charents block, Yerevan","Charents block, Yerevan"
"Բագրատունյաց փողոցի 3-րդ նրբանցք, Երևան","3rd alley of Bagratunyats Street, Yerevan"
"Գյուրջյան փողոց, Երևան","Gyurjyan Street, Yerevan"
"Gogol street 85, Yerevan","Gogol street 85, Yerevan"
"Լեռ Կամսարի փողոց, Երևան","Ler Kamsar Street, Yerevan"
"Gyurjyan St, Yerevan","Gyurjyan St, Yerevan"
"Grigor Aghababyan Street, Yerevan","Grigor Aghababyan Street, Yerevan"
"Grigor Artsrunu street 88, Yerevan","Grigor Artsrunu street 88, Yerevan"
"Avan-Arinj 1st Microdistrict, Yerevan","Avan-Arinj 1st Microdistrict, Yerevan"
"Qanaqer 1st street, Yerevan","Qanaqer 1st street, Yerevan"
"Shrjanain street, Yerevan","Shrjanain street, Yerevan"
"Argishti street 11, Երևան","Argishti street 11, Yerevan"
"Davidashen 2-nd block 8, Yerevan","Davidashen 2-nd block 8, Yerevan"
"Verin Shengavit 2nd street 36/2, Երևան","Verin Shengavit 2nd street 36/2, Yerevan"
"Garegin Nzhdeh street 36/2, Երևան","Garegin Nzhdeh street 36/2, Yerevan"
"Armenak Armenakyan Street, Yerevan","Armenak Armenakyan Street, Yerevan"
"Переулок улицы Львовяна, Ереван","Lvovyan Street Alley, Yerevan"
"1-й переулок улицы Акселя Бакунца, Ереван","1st lane of Aksel Bakunts street, Yerevan"
"Բորյան փողոց 28, Երևան","28 Boryan Street, Yerevan"
"Qanaker 14th street, Yerevan","Qanaker 14th street, Yerevan"
"Չարենցի փողոց, Երևան","Charents Street, Yerevan"
"Komitas Avenue 65, Yerevan","Komitas Avenue 65, Yerevan"
"Khaghag Don street 19, Yerevan","Khaghag Don street 19, Yerevan"
"Օրբելի եղբայրների փողոց, Երևան","Orbeli Brothers Street, Yerevan"
"Gulakyan Street, Yerevan","Gulakyan Street, Yerevan"
"Chekhov street 52, Yerevan","Chekhov street 52, Yerevan"
"Ծարավ Աղբյուրի փողոց, Երևան","Tsarav Aghbyur Street, Yerevan"
"Նորքի այգիներ փողոց 227, Երևան","227 Nork Gardens Street, Yerevan"
"Tigran Mets Avenue 25, Yerevan","Tigran Mets Avenue 25, Yerevan"
"Tigran Mets Avenue 30, Yerevan","Tigran Mets Avenue 30, Yerevan"
"Nikoghayos Adonts street 6, Yerevan","Nikoghayos Adonts street 6, Yerevan"
"Vardanants Street 22, Yerevan","Vardanants Street 22, Yerevan"
"Saryan Street 31, Yerevan","Saryan Street 31, Yerevan"
"Tigran Mets Avenu , Yerevan","Tigran Mets Avenu , Yerevan"
"Sayat Nova avenue 16, Yerevan","Sayat Nova avenue 16, Yerevan"
"Mkhitar Heratsi Street 10, Yerevan","Mkhitar Heratsi Street 10, Yerevan"
"Simon Vratsyan street, Yerevan","Simon Vratsyan street, Yerevan"
"Davidashen 1-st block 1, Yerevan","Davidashen 1-st block 1, Yerevan"
"Yeznik Koghbatsi street 3, Yerevan","Yeznik Koghbatsi street 3, Yerevan"
"Kasyan street 10, Yerevan","Kasyan street 10, Yerevan"
"Նուբարաշեն վարչական շրջան, Երևան","Nubarashen administrative district, Yerevan"
"Nalbandyan street, Երևան ","Nalbandyan street, Yerevan "
"Նորաշեն թաղամաս 19, Երևան","Norashen district 19, Yerevan"
"Nor Aresh 12-th street, Yerevan","Nor Aresh 12-th street, Yerevan"
"Հյուսիսային պողոտա 19/1, Երևան","Northern Avenue 19/1, Yerevan"
"Pirumyanner street, Yerevan","Pirumyanner street, Yerevan"
"Avet Avetisyan Street 2, Yerevan","Avet Avetisyan Street 2, Yerevan"
"Երվանդ Քոչարի փողոց, Երևան","Yervand Kochar Street, Yerevan"
"Bagratunyats Avenue 30, Երևան","Bagratunyats Avenue 30, Yerevan"
"Улица Никола Думана, Ереван","Nikola Duman Street, Yerevan"
"Erebuni street 22a, Yerevan","Erebuni street 22a, Yerevan"
"Քուչակ թաղամաս 52, Երևան","Kuchak district 52, Yerevan"
"Բրյուսով թաղամաս, Երևան","Brusov district, Yerevan"
"Aram Khachatryan street 4, Yerevan","Aram Khachatryan street 4, Yerevan"
"Vahram Papazyan street 27, Yerevan","Vahram Papazyan street 27, Yerevan"
"Eghishe Tadevosyan Street 20, Yerevan","Eghishe Tadevosyan Street 20, Yerevan"
"Verin Antarayin street 120, Yerevan","Verin Antarayin street 120, Yerevan"
"Khanjyan Street 31, Yerevan","Khanjyan Street 31, Yerevan"
"Tigran Mets Ave , Yerevan","Tigran Mets Ave , Yerevan"
"Marshal Baghramyan Ave , Yerevan","Marshal Baghramyan Ave , Yerevan"
"Tumanyan street 18, Yerevan","Tumanyan street 18, Yerevan"
"Derenik Demirchyan street 31, Yerevan","Derenik Demirchyan street 31, Yerevan"
"Arshakuniats Avenue 20, Yerevan","Arshakuniats Avenue 20, Yerevan"
"Tumanyan street 10, Yerevan","Tumanyan street 10, Yerevan"
"Улица Никогайоса Адонца, Ереван","Nikogayosa Adontsa Street, Yerevan"
"Totovents street 10, Yerevan","Totovents street 10, Yerevan"
"Minas Avetisyan 4th street, Yerevan","Minas Avetisyan 4th street, Yerevan"
"Pushkin Street 1, Yerevan","Pushkin Street 1, Yerevan"
"Atenk street, Yerevan","Atenk street, Yerevan"
"Bagratunyats Avenue 4th lane, Երևան","Bagratunyats Avenue 4th lane, Yerevan"
"Микрорайон Норашен 9, Ереван","Microdistrict Norashen 9, Yerevan"
"Malkhasyants lane, Yerevan","Malkhasyants lane, Yerevan"
"Sebastia St 3/9, Yerevan","Sebastia St 3/9, Yerevan"
"Melkumov srteet 54/5, Yerevan","Melkumov srteet 54/5, Yerevan"
"Gyulikekhvyan Lane 11, Yerevan","Gyulikekhvyan Lane 11, Yerevan"
"Նոր Արեշի 11րդ փողոց, Երևան","11th New Aresh Street, Yerevan"
"Տիգրան Մեծի պողոտա 53, Yerevan","53 Tigran Mets Avenue, Yerevan"
"Kajaznuni street 8, Yerevan","Kajaznuni street 8, Yerevan"
"Moldovakan street 30, Yerevan","Moldovakan street 30, Yerevan"
"Yervand Kochar street 17, Yerevan","Yervand Kochar street 17, Yerevan"
"Karapet Ulnetsi 3-rd deadlock, Yerevan","Karapet Ulnetsi 3-rd deadlock, Yerevan"
"Գյուլբենկյան փողոց 8, Yerevan","8 Gulbenkian Street, Yerevan"
"Վաղարշ Վաղարշյան փողոց 5, Երևան","Vagharsh Vagharshyan Street 5, Yerevan"
"Զաքյան փողոցի 1-ին նրբանցք 4, Երևան","4, 1st Alley, Zakyan Street, Yerevan"
"Проспект Комитаса 47/1, Yerevan","Komitas Avenue 47/1, Yerevan"
"Պարույր Սևակի փողոց 51/2, Երևան","Paruyr Sevak Street 51/2, Yerevan"
"Orbeli Brothers street 8, Yerevan","Orbeli Brothers street 8, Yerevan"
"Nansen street 1, Yerevan","Nansen street 1, Yerevan"
"Ավան 4-րդ փողոց, Yerevan","Avan 4th Street, Yerevan"
"Մուրացանի փողոց, Երևան","Muratsan Street, Yerevan"
"Շոպրոնի փողոց, Երևան","Shopron Street, Yerevan"
"Улица Давида Анахта, Ереван","David Anhaght Street, Yerevan"
"Riga Street, Yerevan","Riga Street, Yerevan"
"Vardanants 2-nd lane, Yerevan","Vardanants 2-nd lane, Yerevan"
"Argishti street 7, Yerevan","Argishti street 7, Yerevan"
"Sose street 11, Yerevan","Sose street 11, Yerevan"
"Pushkin Street 51, Yerevan","Pushkin Street 51, Yerevan"
"Khanjyan street 13a, Երևան","Khanjyan street 13a, Yerevan"
"Тупик Нерсисян 5, Ереван","Nersisyan 5 dead end, Yerevan"
"Тупик улицы Никогайос Тигранян 1/1, Ереван","Dead end of Nikoghayos Tigranyan street 1/1, Yerevan"
"Bagratunyats Avenue 18, Երևան","Bagratunyats Avenue 18, Yerevan"
"Bagratunyats Avenue 22a, Yerevan","Bagratunyats Avenue 22a, Yerevan"
"Eghishe Tadevosyan Street, Երևան","Eghishe Tadevosyan Street, Yerevan"
"Estonakan street 10, Yerevan","Estonakan street 10, Yerevan"
"Saryan Street 25, Yerevan","Saryan Street 25, Yerevan"
"Mayisi 9 street 51/1, Yerevan","Mayisi 9 street 51/1, Yerevan"
"Marshal Baghramyan avenue 54, Yerevan","Marshal Baghramyan avenue 54, Yerevan"
"Vagharsh Vagharshyan backstreet, Yerevan","Vagharsh Vagharshyan backstreet, Yerevan"
"Ստեփան Շահումյանի փողոց, Վաղարշապատ","Stepan Shahumyan Street, Vagharshapat"
"Երևանյան խճուղի 6, Մերձավան","Yerevan Highway 6, Merdzavan"
"Նար-Դոս փողոց, Վաղարշապատ","Nar-Dos Street, Vagharshapat"
"Vardan Mamikonyan street 5, Tairov","Vardan Mamikonyan street 5, Tairov"
"Հունան Ավետիսյան փողոց 28, Արմավիր","Hunan Avetisyan Street 28, Armavir"
Armavir › Armavir,Armavir › Armavir
"Mesrop Mashtots street, Vagharshapat","Mesrop Mashtots street, Vagharshapat"
"Մեսրոպ Մաշտոցի փողոց, Վաղարշապատ","Mesrop Mashtots Street, Vagharshapat"
"Mesrop Mashtots street 14, Vagharshapat","Mesrop Mashtots street 14, Vagharshapat"
"1 микрорайон, Мецамор","1 microdistrict, Metsamor"
"Vazgen Sargsyan street 6, Yerevan","Vazgen Sargsyan street 6, Yerevan"
"Mesrop Mashtots St, Vagharshapat","Mesrop Mashtots St, Vagharshapat"
"Baghramyan street 22, Vagharshapat","Baghramyan street 22, Vagharshapat"
"Շահումյան փողոց, Վաղարշապատ","Shahumyan Street, Vagharshapat"
"Movses Khorenatsi Street 12, Vagharshapat","Movses Khorenatsi Street 12, Vagharshapat"
"10-րդ փողոց, Երևան","10th Street, Yerevan"
"Րաֆֆու փողոց 34, Փարաքար","34 Raffi Street, Parakar"
"Orjonikidze street 23, Vagharshapat","Orjonikidze street 23, Vagharshapat"
"Վազգեն Առաջինի փողոց, Վաղարշապատ","Vazgen Arayani Street, Vagharshapat"
"1 թաղամաս 9/3, Մեծամոր","1st district 9/3, Metsamor"
"Մովսես Խորենացի փողոց, Վաղարշապատ","Movses Khorenatsi Street, Vagharshapat"
"Վազգեն Առաջինի փողոց 3, Վաղարշապատ","3 Vazgen Arayani Street, Vagharshapat"
"Մեսրոպ Մաշտոց փողոց, Վաղարշապատ","Mesrop Mashtots Street, Vagharshapat"
Ararat › Masis,Ararat › Masis
"Դպրոցականների նրբանցք 31, Մասիս","31 Schoolchildren&#39;s Alley, Masis"
"Isakov street, Artaxata (Artashat)","Isakov street, Artaxata (Artashat)"
"Մարքսի Փողոց, Արտաշատ","Marx Street, Artashat"
"Vardan Mamikonyan Street, Vagharshapat","Vardan Mamikonyan Street, Vagharshapat"
Ararat › Ararat,Ararat › Ararat
"Օգոստոսի 23 փողոց 23, Արտաշատ","23 August 23 Street, Artashat"
"Նոր թաղամաս, Մասիս","New district, Masis"
Ararat › Argavand,Ararat › Argavand
"Karl Marx Street 16, Artashat","Karl Marx Street 16, Artashat"
"Մխիթար Հերացի փողոց 20, Մասիս","20 Mkhitar Heratsi Street, Masis"
Ararat › Vardashen,Ararat › Vardashen
Gegharkunik › Sevan,Gegharkunik › Sevan
"Garegin Nzhdeh Street 5, Kasakh","Garegin Nzhdeh Street 5, Kasakh"
"Daran street, Abovyan","Daran street, Abovyan"
"Իսակովի Փողոց, Արտաշատ","Isakov Street, Artashat"
"Улица Карла Маркса 7, Арташат","Karl Marx Street 7, Artashat"
"Проспект Республики 9, Абовян","Republic Avenue 9, Abovyan"
"4-я улица, Раздан","4th street, Hrazdan"
Kotayk › Hrazdan,Kotayk › Hrazdan
"Qochar street 11, Charentsavan","Qochar street 11, Charentsavan"
"Միկրոշրջան թաղամաս, Հրազդան","Microdistrict, Hrazdan"
"Melqonyan street 46, Yerevan","Melqonyan street 46, Yerevan"
Kotayk › Zovuni,Kotayk › Zovuni
"Antarayin 1st blok, Tsaghkadzor","Antarayin 1st blok, Tsaghkadzor"
"Проспект Республики, Абовян","Republic Avenue, Abovyan"
Kotayk › Abovian,Kotayk › Abovian
"Khachik Muradyan Street 3, Tsaghkadzor","Khachik Muradyan Street 3, Tsaghkadzor"
"Khachik Muradyan Street, Tsaghkadzor","Khachik Muradyan Street, Tsaghkadzor"
"Saralangi street 15, Abovyan","Saralangi street 15, Abovyan"
Kotayk › Byureghavan,Kotayk › Byureghavan
"Улица Хачика Мурадяна 5, Цахкадзор","5 Hachik Muradyan Street, Tsaghkadzor"
Kotayk › Tsakhkadzor,Kotayk › Tsakhkadzor
"Qochinyan street, Yerevan","Qochinyan street, Yerevan"
"20-я улица, Ариндж","20th Street, Arinj"
"Օլիմպիադիայի փողոց, Ծաղկաձոր","Olympiadia Street, Tsaghkadzor"
"4-րդ փողոց 36, Հրազդան","36 4th Street, Hrazdan"
"Խաչատուր Կեչարեցի փողոց, Ծաղկաձոր","Khachatur Kecharetsi Street, Tsaghkadzor"
"Ավետիք Իսահակյանի փողոց 7, Ծաղկաձոր","Avetik Isahakyan Street 7, Tsaghkadzor"
"Խաչիկ Մուրադյանի փողոց 11, Ծաղկաձոր","11 Khachik Muradyan Street, Tsaghkadzor"
"Երևանյան փողոց 12, Հրազդան","Yerevanyan Street 12, Hrazdan"
"Սևանի փողոց, Աբովյան","Sevan Street, Abovyan"
"Միկրոշրջան թաղամաս 1, Հրազդան","Microdistrict District 1, Hrazdan"
"Garni street 7, Abovyan","Garni street 7, Abovyan"
"Квартал Микрошрджан 15/1, Раздан","Mikroshrjan quarter 15/1, Razdan"
"Զովունի 6 փողոց 5, Զովունի","5 Zovuni 6th Street, Zovuni"
"Երիտասարդական փողոց, Աբովյան","Youth Street, Abovyan"
"4th microdistrict, Abovyan","4th microdistrict, Abovyan"
"Олимпийская улица, Цахкадзор","Olympic street, Tsaghkadzor"
"Վազգեն Ա Վեհափառի փողոց, Բյուրեղավան","Vazgen I Vehapar Street, Byureghavan"
"Գրիգոր Մագիստրոսի փողոց 13, Ծաղկաձոր","13 Grigor Magistros Street, Tsaghkadzor"
"Russian street, Abovyan","Russian street, Abovyan"
"Charents street 7, Nor Hachin","Charents street 7, Nor Hachin"
Kotayk › Charentsavan,Kotayk › Charentsavan
"Проспект Зоравара Андраника, Раздан","Zoravar Andranik Avenue, Razdan"
"Գառնիի փողոց 1, Աբովյան","1 Garni Street, Abovyan"
"Երևանյան փողոց, Հրազդան","Yerevanyan Street, Hrazdan"
"Օլիմպիադիայի փողոց 15, Ծաղկաձոր","15 Olympiadia Street, Tsaghkadzor"
"Սպանդարյան փողոց 1, Հրազդան","Spandaryan Street 1, Hrazdan"
"Օլիմպիադիայի փողոց 8, Ծաղկաձոր","8 Olympiadia Street, Tsaghkadzor"
"Saralanj Street 10, Abovyan","Saralanj Street 10, Abovyan"
"2nd Micro-District, Abovyan","2nd Micro-District, Abovyan"
"Կենտրոն թաղամաս, Հրազդան","Center district, Hrazdan"
Kotayk › Kasagh,Kotayk › Kasagh
"Շիրակացու փողոց 205Ա, Գյումրի","205A Shirakatsi Street, Gyumri"
Kotayk › Argel,Kotayk › Argel
"Կոշտոյան փողոց, Գյումրի","Koshtoyan Street, Gyumri"
Shirak › Gyumri,Shirak › Gyumri
"Գարեգին Նժդեհի պողոտա, Գյումրի","Garegin Nzhdeh Avenue, Gyumri"
"11-րդ փողոց, Գյումրի","11th Street, Gyumri"
"Sayat-Nova Street 5, Gyumri","Sayat-Nova Street 5, Gyumri"
"8th district 2, Gyumri","8th district 2, Gyumri"
"Garegin Nzhdeh Avenue, Gyumri","Garegin Nzhdeh Avenue, Gyumri"
"Улица Ширакаци, Гюмри","Shirakatsi street, Gyumri"
"Անտառավան թաղամաս, Գյումրի","Antaravan district, Gyumri"
"Մաքսիմ Գորկու փողոց 104, Գյումրի","104 Maxim Gorky Street, Gyumri"
"Վարդանանց հրապարակ, Գյումրի","Vardanants Square, Gyumri"
"Ղանդիլյանի փողոց 84, Գյումրի","84 Ghandilyan Street, Gyumri"
"Մուսայելյան փողոց 167, Գյումրի","167 Musayelyan Street, Gyumri"
"Կամոյի փողոց, Գյումրի","Kamo Street, Gyumri"
"Trdat Architector street, Gyumri","Trdat Architector street, Gyumri"
"Մուշ 2 թաղամաս, Գյումրի","Mush 2 district, Gyumri"
